source,brand,description,original_price,final_price
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,tiSsi,Lernturm Felix natur,129.95,129.95
babymarkt,Hauck,Hochstuhl Alpha Plus Grey,99.9,99.9
babymarkt,tiSsi,Lernturm Felix grau,139.95,139.95
babymarkt,Hauck,Hochstuhl Alpha Plus Grey inklusive Bouncer Premium Nordic Grey,169.89,169.89
babymarkt,Hauck,Hochstuhl Alpha Plus Rose,99.9,99.9
babymarkt,Hauck,Hochstuhl Beta Plus Natur,129.9,129.9
babymarkt,Pinolino,Lernturm Fino Anthrazit lackiert,129.0,129.0
babymarkt,Maxi Cosi,Hochstuhl Minla Essential Graphite,199.0,199.0
babymarkt,Hauck,Hochstuhl Alpha Plus Grey inklusive Bouncer Premium Jersey Charcoal,169.89,169.89
babymarkt,tiSsi,Lernturm Felix weiß,139.95,139.95
babymarkt,Safety 1st,Hochstuhl Timba Buchenholz,89.9,89.9
babymarkt,Hauck,Hochstuhl Alpha Plus White inklusive Bouncer Premium Nordic Grey,169.89,169.89
babymarkt,Hauck,Hochstuhl Alpha Plus White,99.9,99.9
babymarkt,Hauck,Hochstuhl Beta Plus Whitewashed/Dots,139.9,139.9
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm Grey inkl. Classic Baby Sitzkissen Stars Multi + gratis Baby Set Storm Grey,303.0,303.0
babymarkt,Hauck,Hochstuhl Beta Plus Natur inklusive Bouncer Hearts Beige,159.98,159.98
babymarkt,Hauck,Hochstuhl Alpha Plus White inklusive Bouncer Premium Jersey Charcoal,169.89,169.89
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche natur inkl. Classic Baby Sitzkissen  Silly Monsters + gratis Baby Set natur,303.0,303.0
babymarkt,Hauck,Hochstuhl Alpha Plus Grey inkl. Esstisch Tray Grey,109.95,109.95
babymarkt,roba,Treppenhochstuhl Sit up III weiß,84.9,84.9
babymarkt,Schardt,Kombihochstuhl Xtra I natur Monster,49.0,49.0
babymarkt,roba,Treppenhochstuhl Born Up weiß Set 2-in-1 inkl. Aufsatz Style grau,189.9,189.9
