source,brand,description,original_price,final_price
babywalz,Hauck ,Bundle Treppenhochstuhl Alpha+ inklusive Bouncer Premium charcoal  natur / charcoal,160.98,141.59
babywalz,Stokke® TRIPP TRAPP®,Bundle Treppenhochstuhl inkl. Newbornset  Black / Grey,289.98,272.99
babywalz,Nomi ,"Treppenhochstuhl Komplett-Set inkl. Neugeborenenaufsatz mit Nomi Play, Mini Bügel, Tray & Sitzkissen",604.7,484.95
babywalz,Hauck ,Hochstuhl Alpha +  natur,89.9,79.99
babywalz,Hauck ,Hochstuhl Sit N Fold  beige,69.9,69.9
babywalz,Nomi ,"Treppenhochstuhl Komplett-Set Eiche geölt inkl. Neugeborenenaufsatz mit Nomi Play, Mini Bügel, Tray & Sitzkissen",664.7,529.95
babywalz,Ingenuity ,Stuhl-Sitzerhöhung 2in1 Babysitz  schiefer,69.99,54.99
babywalz,Stokke® TRIPP TRAPP®,Bundle Treppenhochstuhl inkl. Newbornset & Babyset  Black / Grey,334.97,314.99
babywalz,Pinolino ,Lernturm Fino  natur unbehandelt,119.0,102.99
babywalz,Nomi ,"Treppenhochstuhl Komplett-Set Eiche geölt inkl. Mini Bügel, Tray & Sitzkissen",454.8,364.95
babywalz,Hauck ,Hochstuhl Sit N Fold  space,69.9,69.9
babywalz,babycab ,Tischsitz Luca  melange grau,29.99,29.99
babywalz,Fillikid ,Hochstuhl Aron  grau / Sterne,99.9,80.99
babywalz,Joie ,Hochstuhl Mimzy™ Snacker  Alphabet,79.95,64.99
babywalz,Maxi-Cosi ,Hochstuhl Minla  Essential grey,199.0,156.0
babywalz,Hauck ,Hochstuhl Alpha +  white,99.9,75.99
babywalz,Hauck ,Hochstuhl Alpha +  grey,99.9,75.99
babywalz,Stokke® TRIPP TRAPP®,Bundle Treppenhochstuhl inkl. Babyset  Black,235.29,235.29
babywalz,Stokke® TRIPP TRAPP®,Treppenhochstuhl  Natural,194.99,194.99
babywalz,Stokke® TRIPP TRAPP®,Treppenhochstuhl inkl. Newbornset & Babyset  Natural / Grey,357.0,319.0
babywalz,Hauck ,Hochstuhl Alpha +  walnut,89.9,74.99
babywalz,babycab ,Tischsitz Flexi,39.9,39.9
babywalz,Geuther ,Kombi-Hochstuhl Nico  weiß / Sterne,79.99,65.99
babywalz,roba ,Stuhl-Sitzerhöhung,34.9,23.99
babywalz,Hauck ,Sitzkissen Deluxe  space,24.9,22.99
babywalz,Kinderkraft ,Hochstuhl Fini  grau,109.0,102.99
babywalz,babycab ,Tischsitz Luca  schwarz,29.29,29.29
babywalz,Joie ,Hochstuhl Mimzy™ Snacker  Portrait,79.95,72.99
babywalz,Hauck ,Sitzkissen Alpha Cosy Select  nordic grey,34.9,34.9
babywalz,Hauck ,Hochstuhl Sit N Relax 3 in 1  Strech Grey,199.99,159.99
babywalz,Stokke® TRIPP TRAPP®,Classic Sitzkissen Organic Cotton mit schmutzabweisender Beschichtung  Silly Monsters,44.99,44.99
babywalz,Babymoov ,Stuhl-Sitzerhöhung Up & Go,46.9,37.99
babywalz,Stokke® TRIPP TRAPP®,Treppenhochstuhl  White,194.99,194.99
